,time,label
0,0.0,0
1,0.2,0
2,0.4,0
3,0.6,0
4,0.8,0
5,1.0,0
6,1.2,0
7,1.4,0
8,1.6,0
9,1.8,0
10,2.0,0
11,2.2,0
12,2.4,0
13,2.6,0
14,2.8,0
15,3.0,0
16,3.2,0
17,3.4,1
18,3.6,0
19,3.8,0
20,4.0,0
21,4.2,0
22,4.4,0
23,4.6,0
24,4.8,1
25,5.0,0
26,5.2,0
27,5.4,0
28,5.6,0
29,5.8,0
30,6.0,0
31,6.2,0
32,6.4,0
33,6.6,0
34,6.8,0
35,7.0,0
36,7.2,0
37,7.4,1
38,7.6,0
39,7.8,0
40,8.0,0
41,8.2,0
42,8.4,0
43,8.6,0
44,8.8,0
45,9.0,0
46,9.2,0
47,9.4,0
48,9.6,0
49,9.8,0
50,10.0,0
51,10.2,0
52,10.4,0
53,10.6,0
54,10.8,0
55,11.0,0
56,11.2,0
57,11.4,0
58,11.6,1
59,11.8,0
60,12.0,0
61,12.2,0
62,12.4,0
63,12.6,0
64,12.8,0
65,13.0,0
66,13.2,0
67,13.4,0
68,13.6,0
69,13.8,0
70,14.0,0
71,14.2,0
72,14.4,0
73,14.6,0
74,14.8,0
75,15.0,0
76,15.2,0
77,15.4,0
78,15.6,0
79,15.8,0
80,16.0,0
81,16.2,0
82,16.4,0
83,16.6,0
84,16.8,0
85,17.0,0
86,17.2,0
87,17.4,0
88,17.6,0
89,17.8,0
90,18.0,0
91,18.2,0
92,18.4,0
93,18.6,1
94,18.8,0
95,19.0,0
96,19.2,0
97,19.4,0
98,19.6,0
99,19.8,0
100,20.0,0
101,20.2,0
102,20.4,0
103,20.6,0
104,20.8,0
105,21.0,0
106,21.2,0
107,21.4,0
108,21.6,0
109,21.8,0
110,22.0,0
111,22.2,0
112,22.4,0
113,22.6,0
114,22.8,0
115,23.0,0
116,23.2,0
117,23.4,0
118,23.6,0
119,23.8,0
120,24.0,0
121,24.2,0
122,24.4,0
123,24.6,1
124,24.8,0
125,25.0,0
126,25.2,0
127,25.4,0
128,25.6,0
129,25.8,1
130,26.0,0
131,26.2,0
132,26.4,0
133,26.6,0
134,26.8,0
135,27.0,0
136,27.2,0
137,27.4,0
138,27.6,1
139,27.8,0
140,28.0,0
141,28.2,0
142,28.4,0
143,28.6,0
144,28.8,0
145,29.0,0
146,29.2,0
147,29.4,0
148,29.6,0
149,29.8,0
150,30.0,0
151,30.2,0
152,30.4,1
153,30.6,0
154,30.8,0
155,31.0,0
156,31.2,0
157,31.4,0
158,31.6,0
159,31.8,0
160,32.0,0
161,32.2,0
162,32.4,0
163,32.6,0
164,32.8,0
165,33.0,0
166,33.2,0
167,33.4,0
168,33.6,0
169,33.8,0
170,34.0,0
171,34.2,0
172,34.4,0
173,34.6,0
174,34.8,0
175,35.0,0
176,35.2,0
177,35.4,0
178,35.6,0
179,35.8,0
180,36.0,0
181,36.2,0
182,36.4,1
183,36.6,0
184,36.8,0
185,37.0,0
186,37.2,0
187,37.4,0
188,37.6,0
189,37.8,0
190,38.0,0
191,38.2,0
192,38.4,0
193,38.6,0
194,38.8,0
195,39.0,0
196,39.2,1
197,39.4,0
198,39.6,0
199,39.8,0
200,40.0,0
201,40.2,0
202,40.4,0
203,40.6,0
204,40.8,0
205,41.0,0
206,41.2,0
207,41.4,0
208,41.6,0
209,41.8,0
210,42.0,1
211,42.2,0
212,42.4,1
213,42.6,0
214,42.8,0
215,43.0,0
216,43.2,0
217,43.4,0
218,43.6,0
219,43.8,0
220,44.0,0
221,44.2,0
222,44.4,0
223,44.6,0
224,44.8,1
225,45.0,0
226,45.2,0
227,45.4,0
228,45.6,0
229,45.8,0
230,46.0,0
231,46.2,0
232,46.4,0
233,46.6,0
234,46.8,1
235,47.0,0
236,47.2,0
237,47.4,0
238,47.6,0
239,47.8,0
240,48.0,0
241,48.2,0
242,48.4,0
243,48.6,0
244,48.8,0
245,49.0,0
246,49.2,0
247,49.4,0
248,49.6,0
249,49.8,0
250,50.0,0
251,50.2,0
252,50.4,0
253,50.6,0
254,50.8,0
255,51.0,0
256,51.2,0
257,51.4,0
258,51.6,0
259,51.8,0
260,52.0,0
261,52.2,0
262,52.4,0
263,52.6,0
264,52.8,0
265,53.0,0
266,53.2,0
267,53.4,0
268,53.6,0
269,53.8,0
270,54.0,0
271,54.2,0
272,54.4,0
273,54.6,0
274,54.8,0
275,55.0,0
276,55.2,0
277,55.4,0
278,55.6,0
279,55.8,0
280,56.0,0
281,56.2,0
282,56.4,0
283,56.6,0
284,56.8,0
285,57.0,0
286,57.2,0
287,57.4,0
288,57.6,0
289,57.8,0
290,58.0,0
291,58.2,0
292,58.4,0
293,58.6,0
294,58.8,0
295,59.0,0
296,59.2,0
297,59.4,0
298,59.6,0
299,59.8,0
300,60.0,0
301,60.2,0
302,60.4,0
303,60.6,0
304,60.8,0
305,61.0,0
306,61.2,0
307,61.4,0
308,61.6,0
309,61.8,0
310,62.0,0
311,62.2,0
312,62.4,0
313,62.6,0
314,62.8,0
315,63.0,0
316,63.2,0
317,63.4,0
318,63.6,0
319,63.8,0
320,64.0,0
321,64.2,0
322,64.4,0
323,64.6,0
324,64.8,0
325,65.0,0
326,65.2,0
327,65.4,0
328,65.6,1
329,65.8,0
330,66.0,0
331,66.2,0
332,66.4,0
333,66.6,0
334,66.8,0
335,67.0,0
336,67.2,0
337,67.4,0
338,67.6,0
